10
10
0,0,10,10,10,10,10,10,0,10
0,10,10,10,0,0,0,0,10,10
10,10,10,10,0,10,20,0,10,0
10,0,20,10,10,0,10,10,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
30,10,30,10,40,10,0,10,10,30
10,20,10,10,0,10,20,20,10,20
10,20,10,10,0,10,0,10,10,20
10,10,10,10,10,10,0,40,10,10
10,10,20,50,10,10,20,20,0,30
60,60,20,60,20,10,60,0,0,60
0,20,20,50,20,30,50,20,0,50
0,10,10,0,0,0,10,10,30,10
10,10,10,10,0,10,0,10,10,0
20,0,0,10,0,10,0,10,10,0
20,20,0,10,0,20,20,0,10,20
70,0,10,10,0,10,70,10,0,10
0,10,10,10,10,0,10,20,0,10
0,20,0,0,20,10,10,10,0,10
10,0,10,0,10,0,20,10,0,10
10,10,10,0,10,0,20,10,20,10
10,10,20,30,10,10,20,30,10,60
10,10,10,20,10,0,20,10,0,20
10,0,60,10,0,10,0,10,10,0
10,0,10,10,20,20,10,10,10,0
10,20,10,0,10,30,10,10,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,10,0,70,70,10,70,70,10,10
70,30,20,0,20,10,20,0,0,70
70,30,20,0,20,10,20,0,0,70
70,30,20,0,20,10,20,0,0,70
70,30,20,0,20,10,20,0,0,70
0,0,20,10,0,20,0,10,0,0
0,0,20,10,0,20,0,10,0,0
20,10,0,30,10,20,10,0,0,30
10,10,10,10,10,20,0,20,50,20
0,40,20,0,20,0,20,10,10,20
30,10,20,0,0,30,30,0,40,30
30,10,20,0,0,30,30,0,40,30
30,10,20,0,0,30,30,0,40,30
