10
10
0,0,10,10,10,10,10,10,10,10
10,10,20,20,20,20,20,20,20,20
40,20,10,10,10,10,10,10,10,10
30,30,30,30,20,30,20,20,30,30
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
50,50,50,50,50,50,50,50,50,50
20,20,20,20,20,20,20,20,20,20
10,10,10,10,10,10,10,10,10,10
40,40,40,40,40,40,40,40,40,40
20,20,20,20,20,20,20,20,20,20
40,60,60,60,60,60,60,60,60,60
50,50,50,50,50,50,50,50,50,50
30,30,30,30,30,30,30,30,30,30
30,40,40,40,40,40,40,40,40,40
40,40,40,40,40,40,40,40,40,40
20,20,20,20,20,20,20,20,20,20
70,70,70,70,70,70,70,70,70,70
50,50,50,50,50,50,50,50,50,50
20,20,20,20,20,20,20,20,20,20
30,30,30,30,30,30,30,30,30,30
30,30,30,30,20,30,30,30,30,30
30,30,30,30,30,60,60,60,60,60
40,40,30,30,30,30,30,30,30,40
60,60,60,60,60,60,60,60,60,60
50,50,40,40,40,40,50,50,50,50
10,10,10,40,40,40,40,40,40,40
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
70,70,70,70,70,70,70,70,70,70
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
60,60,60,60,60,60,60,60,60,60
20,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20
20,50,50,50,50,50,40,50,50,50
50,50,50,50,50,50,50,50,50,50
20,20,20,20,20,20,20,40,40,40
40,40,40,40,40,40,40,40,40,40
40,40,40,40,40,40,40,40,40,40
40,40,40,40,40,40,40,40,40,40
